sex,province,education,religion_importance,aboriginal,hh_size,age
Female,Quebec,Below Bachelor,Somewhat important,No,1,52.7
Male,Manitoba,Below Bachelor,Don't know,No,2,51.1
Female,Ontario,Below Bachelor,Very important,No,2,63.6
Female,Alberta,Below Bachelor,Not at all important,No,2,80
Male,Quebec,Below Bachelor,Not at all important,No,2,28
Female,Quebec,Below Bachelor,Very important,No,2,63
Female,Quebec,Below Bachelor,Somewhat important,No,1,80
Female,British Columbia,Below Bachelor,Very important,No,1,63.8
Male,Saskatchewan,Below Bachelor,Somewhat important,Yes,6,25.2
Male,British Columbia,Below Bachelor,Very important,No,5,15.7
Female,Manitoba,Below Bachelor,Not at all important,No,1,40.3
Female,Prince Edward Island,Below Bachelor,Very important,No,2,56.8
Female,Quebec,Below Bachelor,Not very important,No,4,26.8
Female,Quebec,Below Bachelor,Somewhat important,No,2,66.8
Male,Ontario,Below Bachelor,Somewhat important,No,3,68.8
Female,British Columbia,Below Bachelor,Not at all important,No,2,33.8
Male,Quebec,Below Bachelor,Not at all important,No,2,73.2
Male,New Brunswick,Below Bachelor,Not at all important,No,5,39.1
Male,Ontario,Below Bachelor,Not at all important,No,2,64.8
Male,British Columbia,Below Bachelor,Not very important,No,1,49.4
Male,Saskatchewan,Below Bachelor,Not at all important,Yes,4,16.3
Female,Quebec,Below Bachelor,Very important,No,1,63.5
Male,Ontario,Below Bachelor,Not very important,No,1,78.4
Female,Ontario,Below Bachelor,Not very important,No,1,30.8
Female,Quebec,Below Bachelor,Somewhat important,No,4,40.7
Male,Manitoba,Below Bachelor,Somewhat important,No,1,80
Male,Alberta,Below Bachelor,Very important,No,3,16.8
Female,Quebec,Below Bachelor,Very important,No,1,80
Male,Ontario,Below Bachelor,Very important,No,1,71.4
Male,Newfoundland and Labrador,Below Bachelor,Not very important,No,2,71.6
Female,Ontario,Below Bachelor,Somewhat important,No,1,74.9
Male,Alberta,Below Bachelor,Not at all important,No,4,18.6
Male,Ontario,Below Bachelor,Very important,No,3,54.3
Male,British Columbia,Below Bachelor,Not very important,No,2,80
Female,Quebec,Below Bachelor,Very important,No,3,37
Female,Nova Scotia,Below Bachelor,Very important,No,2,27.3
Male,Quebec,Below Bachelor,Not at all important,No,5,68.9
Female,Prince Edward Island,Below Bachelor,Very important,No,2,53.6
Male,British Columbia,Below Bachelor,Very important,No,2,63.4
Male,Prince Edward Island,Below Bachelor,Not very important,No,3,34.5
Male,Quebec,Below Bachelor,Not at all important,No,4,36.2
Female,Nova Scotia,Below Bachelor,Very important,No,1,80
Male,Ontario,Below Bachelor,Somewhat important,No,1,69.4
Female,British Columbia,Below Bachelor,Not very important,Yes,4,26.8
Male,Ontario,Below Bachelor,Very important,No,3,61.5
Female,Prince Edward Island,Below Bachelor,Somewhat important,No,3,47.5
Male,Ontario,Below Bachelor,Not very important,No,3,46.6
Female,Ontario,Below Bachelor,Somewhat important,No,2,53.6
Female,Newfoundland and Labrador,Below Bachelor,Very important,Yes,2,68.6
Male,Nova Scotia,Below Bachelor,Somewhat important,No,2,45.1
Male,New Brunswick,Below Bachelor,Not at all important,No,1,51
Female,Quebec,Below Bachelor,Somewhat important,No,2,70.8
Female,Quebec,Below Bachelor,Somewhat important,No,1,60.8
Female,Alberta,Below Bachelor,Very important,No,1,53.1
Female,Nova Scotia,Below Bachelor,Somewhat important,No,2,72.4
Female,Alberta,Below Bachelor,Somewhat important,No,1,80
Female,Nova Scotia,Below Bachelor,Very important,No,2,65.9
Female,Ontario,Below Bachelor,Very important,No,2,61.8
Female,Manitoba,Below Bachelor,Very important,No,4,37
Male,Quebec,Below Bachelor,Not very important,No,1,58.4
Male,British Columbia,Below Bachelor,Not at all important,No,2,80
Female,Ontario,Below Bachelor,Not very important,No,3,42.3
Male,Ontario,Below Bachelor,Somewhat important,No,1,44.3
Female,British Columbia,Below Bachelor,Not at all important,No,4,26.7
Female,New Brunswick,Below Bachelor,Very important,No,5,24.1
Male,Quebec,Below Bachelor,Not at all important,No,4,41.1
Female,Quebec,Below Bachelor,Very important,No,2,26.1
Female,Quebec,Below Bachelor,Not very important,No,3,31.5
Female,Quebec,Below Bachelor,Not very important,No,4,16.4
Male,British Columbia,Below Bachelor,Very important,No,1,41.7
Male,Quebec,Below Bachelor,Somewhat important,No,5,17.1
Female,Ontario,Below Bachelor,Very important,No,1,63.9
Female,Ontario,Below Bachelor,Somewhat important,No,4,57.8
Female,Newfoundland and Labrador,Below Bachelor,Very important,No,1,74.8
Male,Nova Scotia,Below Bachelor,Somewhat important,No,4,41.1
Male,Newfoundland and Labrador,Below Bachelor,Very important,No,1,59.9
Male,Newfoundland and Labrador,Below Bachelor,Somewhat important,No,3,53.3
Female,Manitoba,Below Bachelor,Not very important,No,2,73.3
Male,British Columbia,Below Bachelor,Somewhat important,No,2,80
Female,British Columbia,Below Bachelor,Somewhat important,No,1,72.3
Female,New Brunswick,Below Bachelor,Somewhat important,No,1,56.3
Male,Ontario,Below Bachelor,Somewhat important,No,1,29.8
Male,Alberta,Below Bachelor,Very important,No,2,71
Female,Prince Edward Island,Below Bachelor,Very important,No,4,33
Male,Quebec,Below Bachelor,Not very important,No,2,25.3
Male,Quebec,Below Bachelor,Somewhat important,No,1,79
Male,Ontario,Below Bachelor,Very important,No,3,55.8
Male,Nova Scotia,Below Bachelor,Not at all important,No,2,47.7
Female,Ontario,Below Bachelor,Somewhat important,No,4,41.4
Female,Nova Scotia,Below Bachelor,Very important,No,1,64.3
Female,Alberta,Below Bachelor,Not at all important,No,1,80
Female,British Columbia,Below Bachelor,Not at all important,No,2,29.3
Male,Newfoundland and Labrador,Below Bachelor,Somewhat important,Yes,2,79.1
Male,Alberta,Below Bachelor,Somewhat important,Yes,2,59.3
Male,Saskatchewan,Below Bachelor,Not very important,No,6,47.3
Female,Alberta,Below Bachelor,Somewhat important,No,4,35.9
Male,Alberta,Below Bachelor,Not at all important,No,1,22.5
Male,Ontario,Below Bachelor,Somewhat important,No,3,45
Female,Ontario,Below Bachelor,Very important,No,1,72.1
Female,New Brunswick,Below Bachelor,Somewhat important,No,2,73
Male,British Columbia,Below Bachelor,Not at all important,No,3,70.8
Male,Ontario,Below Bachelor,Somewhat important,No,1,63.8
Female,Ontario,Below Bachelor,Not very important,No,4,36.5
Female,Alberta,Below Bachelor,Not very important,No,2,60.3
Male,Manitoba,Below Bachelor,Somewhat important,No,2,66.1
Male,Ontario,Below Bachelor,Very important,No,1,78.2
Female,New Brunswick,Below Bachelor,Somewhat important,No,1,74.8
Male,Quebec,Below Bachelor,Not at all important,No,1,80
Male,Prince Edward Island,Below Bachelor,Very important,No,4,39.6
Male,Ontario,Below Bachelor,Very important,No,3,30.8
Male,Ontario,Below Bachelor,Somewhat important,No,2,69.6
Male,Prince Edward Island,Below Bachelor,Not very important,No,1,30.9
Male,Ontario,Below Bachelor,Somewhat important,No,5,80
Female,Ontario,Below Bachelor,Somewhat important,No,3,33.3
Female,Newfoundland and Labrador,Below Bachelor,Somewhat important,No,1,63.8
Female,British Columbia,Below Bachelor,Not very important,Yes,3,41.3
Female,Ontario,Below Bachelor,Very important,No,6,18.3
Male,Ontario,Below Bachelor,Somewhat important,No,3,40.4
Female,Saskatchewan,Below Bachelor,Very important,No,2,48.9
Female,Ontario,Below Bachelor,Very important,No,2,65.3
Male,Prince Edward Island,Below Bachelor,Very important,Yes,1,29.7
Male,Alberta,Below Bachelor,Somewhat important,Yes,3,33.1
Female,British Columbia,Below Bachelor,Not very important,Yes,1,25.8
Female,British Columbia,Below Bachelor,Not very important,No,6,39.3
Female,Quebec,Below Bachelor,Somewhat important,No,1,69.9
Female,Saskatchewan,Below Bachelor,Very important,No,2,67.1
Female,Quebec,Below Bachelor,Somewhat important,No,1,31.8
Female,Ontario,Below Bachelor,Somewhat important,No,3,61.1
Female,Ontario,Below Bachelor,Not very important,No,1,65.6
Male,New Brunswick,Below Bachelor,Not very important,No,1,59
Female,Alberta,Below Bachelor,Very important,No,2,63.3
Male,Ontario,Below Bachelor,Somewhat important,No,2,43.9
