sex,province,education,religion_importance,aboriginal,hh_size,age,vote
(1) Male,(5) Quebec,"(6) Some technical, community college, CEGEP, College Classi",Not important at all,No,1,20,Greens
(1) Male,(5) Quebec,(4) Some secondary / high school,Somewhat important,No,2,56,Conservatives
(1) Male,(5) Quebec,"(7) Completed technical, community college, CEGEP, College C",Somewhat important,No,4,49,Liberal
(1) Male,(5) Quebec,(11) Professional degree or doctorate,Very important,No,3,41,People's Party
(1) Male,(5) Quebec,(4) Some secondary / high school,Not very important,No,5,20,Bloc Quebecois
(1) Male,(5) Quebec,"(6) Some technical, community college, CEGEP, College Classi",Not important at all,No,3,56,Conservatives
(1) Male,(5) Quebec,(9) Bachelor's degree,Somewhat important,No,6,41,Liberal
(2) Female,(5) Quebec,(10) Master's degree,Somewhat important,No,3,32,Liberal
(2) Female,(5) Quebec,(10) Master's degree,Not important at all,No,4,40,NDP
(2) Female,(5) Quebec,(5) Completed secondary / high school,Very important,No,4,30,Liberal
(2) Female,(5) Quebec,(10) Master's degree,Not important at all,No,2,32,Liberal
(1) Male,(5) Quebec,(10) Master's degree,Not very important,No,3,36,NDP
(1) Male,(5) Quebec,(9) Bachelor's degree,Not very important,No,2,33,NDP
(1) Male,(5) Quebec,(9) Bachelor's degree,Not very important,No,2,59,Liberal
(2) Female,(5) Quebec,(5) Completed secondary / high school,Somewhat important,No,4,40,Conservatives
(1) Male,(5) Quebec,(10) Master's degree,Not important at all,No,5,38,NDP
(2) Female,(5) Quebec,(9) Bachelor's degree,Very important,No,2,60,Liberal
(1) Male,(5) Quebec,"(7) Completed technical, community college, CEGEP, College C",Not important at all,No,1,28,Greens
(2) Female,(5) Quebec,(9) Bachelor's degree,Not very important,No,3,47,Conservatives
(1) Male,(5) Quebec,"(7) Completed technical, community college, CEGEP, College C",Not important at all,No,2,42,Conservatives
(2) Female,(5) Quebec,(9) Bachelor's degree,Not important at all,No,4,47,Conservatives
(1) Male,(5) Quebec,"(6) Some technical, community college, CEGEP, College Classi",Not important at all,No,2,51,Bloc Quebecois
(1) Male,(5) Quebec,(5) Completed secondary / high school,Somewhat important,No,2,70,Bloc Quebecois
(2) Female,(5) Quebec,(8) Some university,Not important at all,No,3,23,Liberal
(2) Female,(5) Quebec,(10) Master's degree,Very important,No,5,47,Liberal
(1) Male,(5) Quebec,(10) Master's degree,Very important,No,6,47,Liberal
(2) Female,(5) Quebec,"(7) Completed technical, community college, CEGEP, College C",Not important at all,No,2,34,Liberal
(1) Male,(5) Quebec,(9) Bachelor's degree,Not important at all,No,3,39,Liberal
(1) Male,(5) Quebec,"(7) Completed technical, community college, CEGEP, College C",Not important at all,No,2,32,NDP
(2) Female,(5) Quebec,(9) Bachelor's degree,Not important at all,No,1,71,Conservatives
(1) Male,(5) Quebec,(5) Completed secondary / high school,Not important at all,No,3,28,Liberal
(2) Female,(5) Quebec,(9) Bachelor's degree,Not very important,No,4,42,Liberal
(2) Female,(5) Quebec,(9) Bachelor's degree,Very important,No,5,38,Liberal
(1) Male,(5) Quebec,(9) Bachelor's degree,Not important at all,No,4,45,Liberal
(1) Male,(5) Quebec,"(6) Some technical, community college, CEGEP, College Classi",Somewhat important,No,3,52,Liberal
(1) Male,(5) Quebec,(5) Completed secondary / high school,Not important at all,No,1,41,Bloc Quebecois
(1) Male,(5) Quebec,(5) Completed secondary / high school,Somewhat important,No,2,30,Bloc Quebecois
(2) Female,(5) Quebec,(9) Bachelor's degree,Very important,No,2,46,NDP
(1) Male,(5) Quebec,(9) Bachelor's degree,Not important at all,No,2,50,Liberal
(1) Male,(6) Ontario,(5) Completed secondary / high school,Somewhat important,No,4,18,Conservatives
(1) Male,(6) Ontario,(10) Master's degree,Very important,No,2,67,Conservatives
(1) Male,(6) Ontario,(5) Completed secondary / high school,Somewhat important,No,7,19,Conservatives
(2) Female,(6) Ontario,(10) Master's degree,Very important,No,2,33,Greens
(1) Male,(6) Ontario,(9) Bachelor's degree,Somewhat important,No,2,33,Liberal
(1) Male,(6) Ontario,(11) Professional degree or doctorate,Very important,No,4,46,Conservatives
(2) Female,(6) Ontario,(11) Professional degree or doctorate,Not important at all,No,2,61,Liberal
(2) Female,(5) Quebec,(9) Bachelor's degree,Not important at all,No,4,40,NDP
(2) Female,(6) Ontario,"(6) Some technical, community college, CEGEP, College Classi",Not very important,No,4,50,NDP
(1) Male,(6) Ontario,(5) Completed secondary / high school,Very important,No,2,33,Conservatives
(1) Male,(6) Ontario,"(6) Some technical, community college, CEGEP, College Classi",Very important,No,3,22,NDP
(2) Female,(6) Ontario,"(7) Completed technical, community college, CEGEP, College C",Somewhat important,No,3,40,Conservatives
(1) Male,(6) Ontario,(5) Completed secondary / high school,Somewhat important,No,5,18,Conservatives
(2) Female,(6) Ontario,"(7) Completed technical, community college, CEGEP, College C",Very important,No,5,58,NDP
(2) Female,(6) Ontario,(8) Some university,Somewhat important,No,3,55,Conservatives
(2) Female,(6) Ontario,(5) Completed secondary / high school,Not important at all,No,2,72,Conservatives
(1) Male,(6) Ontario,(9) Bachelor's degree,Don't know,No,2,73,NDP
(1) Male,(6) Ontario,(9) Bachelor's degree,Very important,No,2,60,NDP
(2) Female,(6) Ontario,(9) Bachelor's degree,Very important,No,1,24,NDP
(2) Female,(6) Ontario,(9) Bachelor's degree,Somewhat important,No,4,27,Liberal
(1) Male,(6) Ontario,(5) Completed secondary / high school,Very important,No,2,37,NDP
(1) Male,(6) Ontario,"(6) Some technical, community college, CEGEP, College Classi",Somewhat important,No,2,75,Liberal
(1) Male,(6) Ontario,(8) Some university,Not important at all,No,4,46,Liberal
(1) Male,(6) Ontario,"(7) Completed technical, community college, CEGEP, College C",Very important,No,3,30,Liberal
(1) Male,(6) Ontario,(5) Completed secondary / high school,Somewhat important,No,3,61,Liberal
(1) Male,(6) Ontario,"(6) Some technical, community college, CEGEP, College Classi",Not very important,No,2,46,Liberal
(2) Female,(6) Ontario,(9) Bachelor's degree,Somewhat important,No,3,40,Liberal
(2) Female,(6) Ontario,(10) Master's degree,Not important at all,No,1,68,Greens
(1) Male,(6) Ontario,(4) Some secondary / high school,Somewhat important,No,2,70,Conservatives
(2) Female,(6) Ontario,(9) Bachelor's degree,Somewhat important,No,5,42,NDP
(1) Male,(6) Ontario,(10) Master's degree,Somewhat important,No,4,35,Liberal
(1) Male,(6) Ontario,(9) Bachelor's degree,Not very important,No,5,43,Conservatives
(1) Male,(6) Ontario,"(7) Completed technical, community college, CEGEP, College C",Somewhat important,No,3,54,Conservatives
(1) Male,(6) Ontario,"(7) Completed technical, community college, CEGEP, College C",Somewhat important,No,2,72,Liberal
(1) Male,(6) Ontario,(10) Master's degree,Somewhat important,No,2,30,Liberal
(1) Male,(6) Ontario,"(7) Completed technical, community college, CEGEP, College C",Somewhat important,No,4,44,NDP
(1) Male,(6) Ontario,(11) Professional degree or doctorate,Very important,No,3,34,Liberal
(1) Male,(6) Ontario,(9) Bachelor's degree,Very important,No,6,53,Conservatives
(2) Female,(6) Ontario,(11) Professional degree or doctorate,Very important,No,4,39,Conservatives
(2) Female,(6) Ontario,(5) Completed secondary / high school,Very important,No,8,63,Liberal
(2) Female,(6) Ontario,"(7) Completed technical, community college, CEGEP, College C",Very important,No,5,29,Conservatives
(1) Male,(6) Ontario,(10) Master's degree,Not very important,No,2,67,Liberal
(2) Female,(6) Ontario,"(6) Some technical, community college, CEGEP, College Classi",Somewhat important,No,2,71,Liberal
(1) Male,(6) Ontario,"(7) Completed technical, community college, CEGEP, College C",Very important,No,4,72,NDP
(1) Male,(6) Ontario,(10) Master's degree,Very important,No,4,57,Liberal
(1) Male,(6) Ontario,"(7) Completed technical, community college, CEGEP, College C",Very important,No,3,55,Liberal
(1) Male,(6) Ontario,"(7) Completed technical, community college, CEGEP, College C",Not very important,No,5,39,People's Party
(1) Male,(6) Ontario,"(7) Completed technical, community college, CEGEP, College C",Not very important,No,2,56,Conservatives
(1) Male,(6) Ontario,(9) Bachelor's degree,Somewhat important,No,5,40,Liberal
(1) Male,(6) Ontario,(11) Professional degree or doctorate,Not very important,No,2,34,NDP
(1) Male,(6) Ontario,(5) Completed secondary / high school,Somewhat important,No,7,64,Liberal
(2) Female,(6) Ontario,(9) Bachelor's degree,Very important,No,1,66,Greens
(1) Male,(6) Ontario,"(7) Completed technical, community college, CEGEP, College C",Very important,No,5,25,Conservatives
(2) Female,(6) Ontario,(5) Completed secondary / high school,Not important at all,No,4,43,Liberal
(2) Female,(6) Ontario,(5) Completed secondary / high school,Very important,No,2,69,Conservatives
(2) Female,(6) Ontario,(8) Some university,Somewhat important,No,4,50,Greens
(2) Female,(6) Ontario,"(7) Completed technical, community college, CEGEP, College C",Somewhat important,No,2,26,NDP
(1) Male,(6) Ontario,(10) Master's degree,Not important at all,No,2,30,Conservatives
(1) Male,(6) Ontario,"(6) Some technical, community college, CEGEP, College Classi",Very important,No,5,40,Liberal
(1) Male,(6) Ontario,(9) Bachelor's degree,Somewhat important,No,4,44,Conservatives
(2) Female,(6) Ontario,(10) Master's degree,Somewhat important,No,1,59,Liberal
(2) Female,(10) British Columbia,(10) Master's degree,Not important at all,No,1,27,Liberal
(1) Male,(6) Ontario,(10) Master's degree,Not very important,No,1,46,Liberal
(2) Female,(6) Ontario,(9) Bachelor's degree,Very important,No,2,71,NDP
(1) Male,(6) Ontario,(9) Bachelor's degree,Somewhat important,No,4,49,Liberal
(1) Male,(6) Ontario,(9) Bachelor's degree,Somewhat important,No,2,69,Conservatives
(1) Male,(6) Ontario,(10) Master's degree,Somewhat important,No,3,60,Liberal
(2) Female,(6) Ontario,(9) Bachelor's degree,Somewhat important,No,3,26,NDP
(1) Male,(6) Ontario,(9) Bachelor's degree,Very important,No,3,63,Conservatives
(1) Male,(6) Ontario,(11) Professional degree or doctorate,Not very important,No,2,35,Liberal
(2) Female,(6) Ontario,(9) Bachelor's degree,Somewhat important,No,2,24,Greens
(2) Female,(6) Ontario,(9) Bachelor's degree,Very important,No,4,30,Conservatives
(1) Male,(6) Ontario,"(7) Completed technical, community college, CEGEP, College C",Very important,No,5,60,Conservatives
(1) Male,(6) Ontario,(9) Bachelor's degree,Not very important,No,4,41,Liberal
(1) Male,(6) Ontario,(5) Completed secondary / high school,Somewhat important,No,1,35,NDP
(1) Male,(6) Ontario,(10) Master's degree,Somewhat important,No,4,62,Liberal
(1) Male,(9) Alberta,"(6) Some technical, community college, CEGEP, College Classi",Very important,No,3,72,NDP
(2) Female,(10) British Columbia,(5) Completed secondary / high school,Not very important,No,2,58,Liberal
(1) Male,(10) British Columbia,"(7) Completed technical, community college, CEGEP, College C",Very important,No,1,56,Conservatives
(2) Female,(6) Ontario,(8) Some university,Not important at all,No,4,19,Conservatives
(1) Male,(10) British Columbia,(9) Bachelor's degree,Somewhat important,No,1,42,Conservatives
(1) Male,(10) British Columbia,(10) Master's degree,Don't know,No,3,51,NDP
(1) Male,(10) British Columbia,(5) Completed secondary / high school,Somewhat important,No,1,50,Greens
(1) Male,(10) British Columbia,"(7) Completed technical, community college, CEGEP, College C",Very important,No,4,34,Conservatives
(1) Male,(10) British Columbia,(4) Some secondary / high school,Not very important,No,1,41,Greens
(1) Male,(10) British Columbia,(5) Completed secondary / high school,Very important,No,3,57,Conservatives
(1) Male,(10) British Columbia,(11) Professional degree or doctorate,Somewhat important,No,2,70,Conservatives
(2) Female,(10) British Columbia,(9) Bachelor's degree,Not very important,No,2,59,Greens
(2) Female,(10) British Columbia,(5) Completed secondary / high school,Very important,No,2,59,Liberal
(1) Male,(10) British Columbia,(10) Master's degree,Not very important,No,5,53,Liberal
(1) Male,(10) British Columbia,"(6) Some technical, community college, CEGEP, College Classi",Somewhat important,No,3,35,Liberal
